id,rumor,label,evidence_id,evidence,username
AuRED_014,"“#Urgent / Ramallah Ministry of Health spokesman Kamal Al-Shakhra: We received 2,000 doses of the American “Moderna” #Corona vaccine, and this batch will be designated for President Abbas, the Fatah Central Committee, and VIPs.”",REFUTES,"['1357211717479116800', '1356683687870488576', '1356683511047028748', '1356683390733471746']","Pictures from the launch of the vaccination campaign against the #Coronavirus, starting with the medical and health teams in #Bethlehem. #vaccine #Palestine #COVID19 https://t.co/vnhGmoZtgC The Ministry added that the second group that will receive the vaccine is the elderly over the age of 60 and those with chronic diseases, because if they are infected with the virus, they will be more susceptible to serious symptoms. #vaccine #modernavaccine #palestine #COVID19 Yesterday, the Ministry of Health announced that it had received 2,000 doses of Moderna vaccine, stressing that the priority in receiving anti-Coronavirus vaccinations is for personnel working in the health sector, as they are the group who have the most contact with patients and are most at risk of infection with the Corona virus. #modernavaccine #palestine #COVID19 The Minister of Health, Dr. #May_Alkaila, today, Tuesday, the campaign, where she received the #vaccine at Hogochaffer Hospital in Turmus Aya, while the medical staff working in the intensive care rooms there were vaccinated with the #Moderna vaccine. #modernavaccine #palestine #COVID19","['palestine_moh', 'palestine_moh', 'palestine_moh', 'palestine_moh']"
AuRED_037,"Macron to Sky News: After my visit to Mrs. Fairouz last night and the visit to the Jaj Cedar Reserve, I realized the love of a large section of the Lebanese people for their President of the Republic. Fairouz also told me about her appreciation and love for the President and the reform project that the President of the Republic wants to implement. I also salute the President of the Republic and his efforts and patience. https://t.co/7pMab8yWCD",REFUTES,"['1301079467889131522', '1301067546200858626', '1300798719751794688']","RT @HalaHomsi: Macron and Mrs. Fairouz: This news was not published by “Sky News” FactCheck https://tinyurl.com/u67kpve3 via @Annahar #FactCheck @salmanonline Good morning, Beirut.. But this is fabricated news, and supporters of the Free Patriotic Movement are not convinced that Macron did not tell Sky News at all. He did not make any statement, neither he nor Fayrouz, such words. Good morning, Beirut #fake_news https://t.co/7KVkbCAI42 This news attributed to Sky News Arabia is false https://t.co/Mlf8QKDr7W","['salmanonline', 'salmanonline', 'salmanonline']"
AuRED_085,"Saudi Arabia evacuated 10 students from China in a plane that could accommodate 500 passengers, and did not evacuate 170 Yemeni students with it, while participating with 100 warplanes to bomb Yemen. May God protect the Sultanate of Oman for sending a private plane to the Yemeni students stranded in China. And what a good neighbor, Oman ❤️ https://t. co/OfDSIoD5ry",REFUTES,"['1226482043007066113', '1225345358961762304', '1226202744475865089', '1224702545127407617', '1224372681870651392', '1224361944959922178', '1224361941986050049', '1225075510461583362', '1224728227136131073', '1224727797043814400', '1224725042845704193', '1225286729332150273', '1224919667661295618', '1224919598698565633', '1224919545057619968', '1224919523691827202', '1224208762606686209', '1226177350376685569', '1226116927015141376', '1225068691332550662', '1224546827657048064', '1224347860436582400', '1224339041534898179', '1224153761511198720', '1224264648142151680', '1224264646913187842', '1226159605815947264', '1226159298398556160', '1226093838357405696', '1225418369857413120', '1224759855837143040']","RT @Yemen_PM: The Yemeni Embassy in #China announces the start of disbursing financial aid to all Yemeni students and their families residing in the Chinese city of #Wuhan, which is witnessing the spread of the Corona virus, in the coming days. Statement by the administrative body of the Yemeni Students Union in China regarding the conditions of students in Wuhan https://t.co/5xAH0YORF8 The Yemeni Embassy in #China announces the start of disbursing financial aid to all Yemeni students and their families residing in the Chinese city of #Wuhan, which is witnessing the spread of the Corona virus, in the coming days. Deputy Prime Minister Dr. Salem Al-Khanbashi chairs an expanded meeting to study precautionary arrangements to prevent the spread of the #Coronavirus to #Yemen... noting the directives of Prime Minister Dr. Maeen Abdulmalik to form an emergency committee and take all measures to protect students and the Yemeni community in China. https://t.co/WEKYfJcpaQ Prime Minister Dr. Maeen Abdulmalik makes a phone call with the Chargé d'Affaires of the Yemeni Embassy in China, Ahmed Jaber, to check on the conditions of the students and the Yemeni community... stressing that the government, under the directives of the President of the Republic, will provide, in coordination with the Chinese authorities, all support to maintain their safety as a result of the outbreak of the Corona virus https:// t.co/UK2xfjBMYk The Prime Minister’s directives included speeding up the disbursement of additional financial aid to Yemeni students in the Chinese city of Wuhan, which was directed after the spread of the Corona virus, as well as completing the transfer of third-quarter dues to students on scholarship in China and disbursing their dues for the fourth quarter in an exceptional and urgent manner. Prime Minister Dr. Maeen Abdulmalik chairs an emergency meeting on the Corona virus and the necessary measures to protect students and the Yemeni community in #China and directs the formation of an emergency committee headed by Deputy Prime Minister Salem Al-Khanbashi to follow up on students and members of the community stranded in the city of Wuhan, and ways to evacuate them and give them full health care https:// t.co/0SWSLUSq3M The Minister of Foreign Affairs discussed with the Ambassador of the People's Republic of China to our country the conditions of Yemeni nationals in China, especially students and residents of the city of Wuhan, and the necessary arrangements to provide them with the necessary needs and the possibility of their evacuation, stressing the sending of additional financial aid to our children in the city of Wuhan. https://t.co/bRGSMzTLfZ The Vice President of the Republic expresses his wishes to the Yemeni students, the Yemeni community, and friends in China for safety due to the spread of the virus and for this crisis to end with the least losses. The Vice President stresses the importance of making maximum efforts to protect students and the Yemeni community there and intensifying communication with the Chinese side, supporting parties, brothers and friends in a way that will prevent them from being infected with the virus and prevent the epidemic from reaching our country. The Vice President of the Republic, in his meeting with the Minister of Public Health and Population, follows up on the efforts made to protect Yemeni students in China from infection with the Corona virus and preventive measures in this aspect, in implementation of the directives of His Excellency Abd Rabbuh Mansour Hadi, President of the Republic https://t.co/CNbBGtrQfk RT @yemen_mofa: The Minister of Foreign Affairs discussed with the Ambassador of the People’s Republic of China to our country the conditions of Yemeni nationals in China, especially students and residents of the city of Wuhan, and the necessary arrangements to provide them with the necessary needs and the possibility of their evacuation, stressing the sending of additional financial aid to our children in the city of Wuhan. RT @Yemen_PM: Prime Minister Dr. Maeen Abdulmalik chairs an emergency meeting on the Corona virus and the necessary measures to protect students and the Yemeni community in #China and directs the formation of an emergency committee headed by Deputy Prime Minister Salem Al-Khanbashi to follow up on students and members of the community stranded in the city of Wuhan, and ways to evacuate them and give them full health care. RT @alimohsnalahmar: The Vice President of the Republic, in his meeting with the Minister of Public Health and Population, is following up on the efforts made to protect Yemeni students in China from being infected with the Corona virus and the preventive measures in this aspect, in implementation of the directives of His Excellency President Abd Rabbuh Mansour Hadi, President of the Republic. RT @alimohsnalahmar: The Vice President stresses the importance of exerting maximum efforts to protect students and the Yemeni community there and intensifying communication with the Chinese side, supporting bodies, brothers and friends in a way that will prevent them from being infected with the virus and prevent the epidemic from reaching our country. RT @alimohsnalahmar: The Vice President of the Republic expresses his wishes to the Yemeni students, the Yemeni community, and friends in China for safety due to the spread of the virus and for this crisis to end with the least losses. RT @yemen_mofa: We are in direct contact with our students in the city of Wuhan, where the Corona virus has spread, and under the guidance of the country’s leadership, we are coordinating with the Chinese authorities and our embassy in China and arranging the necessary procedures to provide what they need and discussing the possibility of evacuating them with the relevant authorities. We are pleased to announce that financial aid will be disbursed to all Yemeni citizens residing in the city of Wuhan during the next week, immediately after coordination with the Foreign Affairs Office in the city of Wuhan is completed. We highly value the commitment of our dear citizens to the instructions of the Chinese government to ensure their safety. May you always be well. RT @ChineseEmbtoYEM: Let's listen to the words from the Yemeni student in Wuhan, China. https://t.co/qiGLv6DY57 Al-Hadrami discusses with the Chinese ambassador the conditions of Yemenis residing in Wuhan - Saba Net :: Saba Net https://t.co/8hpZljVTrR The Prime Minister reassures students and the Yemeni community in China - Saba Net :: Saba Net https://t.co/7dVfiC61Pr The Prime Minister directs to take all necessary measures to protect students and the Yemeni community in China from Corona - Saba Net :: Saba Net https://t.co/YlFLvDuowW We are in constant contact with the students in Wuhan, and a working group has been established that has completed the necessary proposals and statements and submitted them to decision makers. We hope everyone will be patient, and we highly appreciate the Chinese government’s care, attention, and provision of the needs of everyone in their homes. RT @yemen_mofa: We are in direct contact with our students in the city of Wuhan, where the Corona virus has spread, and under the guidance of the country’s leadership, we are coordinating with the Chinese authorities and our embassy in China and arranging the necessary procedures to provide what they need and discussing the possibility of evacuating them with the relevant authorities. Our hearts are with you and our prayers are with you. We ask God to protect you and our Chinese friends from the evil and danger of this virus. Our brothers and sons who are in the friendly Republic of China, we pray for safety for you and for your Chinese friends, and Allah willing, the disaster will be overcome. The leadership is following what is happening, and your appeals, especially those in Wuhan, are of concern, and Allah willing, the issue will be addressed urgently. Universities and the Chinese government provide food to Yemeni students in Wuhan. Here is the process of distributing food to Yemeni students. We are with you, let us make joint efforts to overcome this difficult period! 🇨🇳❤️🇾🇪 https://t.co/X780HRFaZv Universities and the Chinese government provide food to Yemeni students in Wuhan. Let us make joint efforts to overcome this difficult period!🇨🇳❤️🇾🇪 https://t.co/wgVtrBxR9X Let's listen to the words of the Yemeni student in Wuhan, China. https://t.co/qiGLv6DY57 The ambassador met with Sheikh Abdul Salam Al-Khudairi today, Undersecretary of the Ministry of Endowments and Guidance. The two sides discussed the Corona virus in China and the situation of Yemeni expatriates and students there. The Sheikh thanked the Chinese government for its efforts in combating the virus and protecting Yemeni citizens, and expressed his hope that China will defeat the virus early https://t .co/LMgxBmgM7l Let us listen to the words and opinions regarding the spread of the Corona virus from the Yemeni student, Dr. Osama Al-Waleed, who is now in the Chinese city of Wuhan. https://t.co/vI3YHaED3h","['YSUCORG', 'YSUCORG', 'Yemen_PM', 'Yemen_PM', 'Yemen_PM', 'Yemen_PM', 'Yemen_PM', 'yemen_mofa', 'alimohsnalahmar', 'alimohsnalahmar', 'alimohsnalahmar', 'yemenembassymu1', 'yemenembassymu1', 'yemenembassymu1', 'yemenembassymu1', 'yemenembassymu1', 'yemenembassymu1', 'ye_embassy_cn', 'ye_embassy_cn', 'ye_embassy_cn', 'ye_embassy_cn', 'ye_embassy_cn', 'ye_embassy_cn', 'ye_embassy_cn', 'AlbarkaniS', 'AlbarkaniS', 'ChineseEmbtoYEM', 'ChineseEmbtoYEM', 'ChineseEmbtoYEM', 'ChineseEmbtoYEM', 'ChineseEmbtoYEM']"
AuRED_089,"The Corona epidemic has reached the Emirates, with 75 cases in Abu Dhabi and 63 cases in Dubai. A warning to refrain from traveling to the Emirates in order to preserve safety and not transmit the epidemic. May God protect Muslims everywhere...",REFUTES,"['1222506828694794240', '1223649306667778049', '1222476311291142145', '1222418957833068546', '1223651591712014338', '1223647517855928326', '1222457635909312512', '1222382247099150337', '1223649510116732930', '1222489400422096896', '1222421365459968001', '1222581824242769920', '1222581782421307393']","Today @WHO confirmed the emergence of the first cases of the new Coronavirus in the Eastern Mediterranean Region, in the United Arab Emirates. Following @mohapuae's confirmation on January 29. 4 members of the same family from the Chinese city of Wuhan arrived in the UAE at the beginning of January 2020, and were admitted to the hospital after they were confirmed infected with the #Corona_virus. A new case of infection with the new Corona virus was recorded for a person coming from the city of Wuhan in the People’s Republic of China. Thus, the number of cases discovered in the country is only five since the outbreak of the disease to date. #New_Coronavirus #Coronavirus https://t.co/sxrwLQbmnK Four people from a Chinese family were infected with the new Corona virus, all of whom are in stable condition and were contained according to internationally approved precautionary measures. The general health situation does not cause concern. A case of infection with the new Coronavirus has been diagnosed for people from the same family coming from the city of Wuhan in the People’s Republic of China. The health condition of the injured is stable and under medical observation. #Ministry_of_Health_and_Community_Prevention https://t.co/xKR6AoWreG RT @mohapuae: A new case of infection with the new Corona virus was recorded for a person coming from the city of Wuhan in the People’s Republic of China, thus bringing the number of cases discovered in the country to only five since the outbreak of the disease until today #New_Corona_Virus #Corona_Virus “RT @wamnews: “#Ministry_of_Health” announces the registration of a new case of infection with the new #Coronavirus #WAM https://t.co/hvHZDi9vdG https://t.co/TuC1L1eD1n” RT @wamnews: #UAE: Four people from a Chinese family were infected with the new #Coronavirus #WAM https://t.co/dtK5YfUW9G https://t.co/EepTMv5pcJ RT @wamnews: The UAE announces the registration of the first case of infection with the new #Coronavirus, and the Ministry of Health and Community Protection confirms that the health condition of those infected is stable and under medical observation. RT @mohapuae: A new case of infection with the new Corona virus was recorded for a person coming from the city of Wuhan in the People’s Republic of China, thus bringing the number of cases discovered in the country to only five since the outbreak of the disease until today #New_Corona_Virus #Corona_Virus RT @mohapuae: Four people from a Chinese family were infected with the new Corona virus, all of whom are in stable condition and were contained according to internationally approved precautionary measures #Ministry_of_Health_and_Community_Prevention_Emirates #New_Coronavirus #Corona_virus RT @mohapuae: The general health situation does not cause concern. A case of infection with the new Coronavirus has been diagnosed for people from the same family coming from the city of Wuhan in the People’s Republic of China. The health condition of the injured is stable and under medical observation. #Ministry_of_Health_and_Community_Prevention_Emirates RT @mohapuae: Four people from a Chinese family were infected with the new Corona virus, all of whom are in stable condition and were contained according to internationally approved precautionary measures #Ministry_of_Health_and_Community_Prevention_Emirates #New_Coronavirus #Corona_virus RT @mohapuae: The general health situation does not cause concern. A case of infection with the new Coronavirus has been diagnosed for people from the same family coming from the city of Wuhan in the People’s Republic of China. The health condition of the injured is stable and under medical observation. #Ministry_of_Health_and_Community_Prevention_Emirates","['WHOEMRO', 'mohapuae', 'mohapuae', 'mohapuae', 'NCEMAUAE', 'NCEMAUAE', 'NCEMAUAE', 'NCEMAUAE', 'DHA_Dubai', 'DHA_Dubai', 'DHA_Dubai', 'DoHSocial', 'DoHSocial']"
AuRED_135,"The official spokesman for the Football Association: #Al-Ahly sent a letter to the Football Association announcing its refusal to wear #Zamalek in the full blue uniform during the #Egyptian_Super_match, based on its request.",REFUTES,"['1585012773125120000', '1585011015032315904']","Islam Al-Shater “warns” against fabricating news and spreading rumours: We do not have an acting CEO in this position and we have nothing to do with the uniform of others. YouTube 🔗 https://t.co/HDvLPxamnP #The_Big_House #Alahlytv 📺 https://t .co/IRn9G1O9WP"" “Al-Ahly’s objection speech to the “Zamalek uniform” in the Super Cup was “fabricated”.. Islam Al-Shater: Even failure amounts to fabrication. YouTube https://t.co/ZjLbbiOR2o #The_Big_House #Alahlytv 📺 https://t. co/aTUx2UOkVB""","['AlAhlyTV', 'AlAhlyTV']"
AuRED_141,"The Prime Minister of Italy, Giorgia Meloni, with the Prime Minister of Iraq, Muhammad Shia al-Sudani, in Baghdad, but what is strange is that the “flag” is not the flag of the “Italian State”.!! This is the situation when mercenary agents rule as agents. The occupiers do not even know the difference between (the flag of Italy) and (the flag of Ireland).!! https://t.co/3nCXCLU4AG”",REFUTES,['1606302597861691393'],"🔴🔴 We officially deny the news of the alleged error related to raising the official flags during today’s meeting of the Prime Minister of Italy, Mrs. Giorgia Meloni, with her Iraqi counterpart, Mr. Muhammad Al-Sudani, in Baghdad. This news is due to the visual effects resulting from the photography. The flags used were all of the Italian Republic.",['ItalyinIraq']
AuRED_143,"Urgent ❗️ Resignation of the Director General of the Municipality, Engineer; #Ahmed_Al-Manfoukhi https://t.co/bnI5xZdT3k",REFUTES,['1582632003370786816'],"Some people circulated on social media incorrect news, which was attributed to “forgery” to “your newspaper.” In turn, we confirm that the news is not true and warn against using the newspaper’s name to spread rumours. We also confirm that the newspaper is only responsible for the news it publishes through its approved social media accounts. https://t.co/ys1qohfSvI",['ImeGrop']
AuRED_146,Ministry of Works: We receive in-kind donations from citizens or companies for specific street repairs via official address https://t.co/cnde0HpWAJ,REFUTES,['1575070484856639493'],The Ministry of Public Works categorically denies the incorrect news mentioned about opening the door for donations from citizens or companies to repair streets. Roads and streets are developed and maintained in accordance with contracts signed between the Ministry and parties with a common interest.,['mpw_kw']
AuRED_152,#Exclusively: The Queen of Arab Pop #Nancy_Ajram refused to sing with restaurant singer #Nawal_Alzoghbi after Nawal asked several times to sing with her and to have a duet together 🤫😭 #Trio_Arabic_Night,REFUTES,['1608466918561792000'],"""This talk is wrong and unacceptable, and it does not resemble the people who love me. I hope I will not be forced to respond again to a story of this kind. All the artists are participating in ""Together"" tonight, and together we will present the best party away from all the talk that has come out or is reasonable to come out. https:// t.co/rEE4AkIMVf""",['NancyAjram ']
AuRED_155,Unconfirmed information about MP Alain Aoun being involved in a serious accident and information about his death https://t.co/w2ZtNrpNKM,REFUTES,['1475115418905939980'],"In the context of malicious rumours, false news was widely circulated on social media about my exposure to a serious accident that led to my death. I thank everyone who reassured me and called or tried to call and confirmed that I am fine and that the news is false. https://t.co/4HEKzXDZCJ",['Alain_Aoun']
